epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76715,2.19328,4.99751,1.78791,0.00252,0.7375,0.17619,0.08441,1.53036,4.02866,1.24239,0.0002125,0.0002125,0.0002125
2,4.58505,1.47506,3.07285,1.16071,0.00307,0.9125,0.39963,0.2365,1.20659,3.57643,1.12115,0.000428838,0.000428838,0.000428838
3,6.36829,1.28249,2.33045,1.13658,0.00285,0.8,0.65119,0.40183,1.18391,3.51116,1.16432,0.000636265,0.000636265,0.000636265
4,8.14564,1.20689,1.93266,1.10414,0.97145,0.34619,0.68088,0.44871,1.25341,3.34415,1.21762,0.000834782,0.000834782,0.000834782
5,9.95779,1.15442,1.75587,1.07832,1,0.15152,0.56821,0.38477,1.29407,3.36311,1.20361,0.00102439,0.00102439,0.00102439
6,11.7477,1.17831,1.60607,1.09135,0.88997,0.83759,0.88528,0.65614,1.1198,1.80467,1.2315,0.00112625,0.00112625,0.00112625
7,13.5522,1.12811,1.54523,1.06476,0.83111,0.86636,0.93498,0.65763,1.13864,1.68185,1.1843,0.0011015,0.0011015,0.0011015
8,15.3422,1.1195,1.46501,1.0613,0.91051,0.9375,0.93424,0.66901,1.11578,1.29069,1.17273,0.00107675,0.00107675,0.00107675
9,17.0903,1.05326,1.3429,1.041,0.92671,0.92107,0.9413,0.64326,1.31109,1.03875,1.26209,0.001052,0.001052,0.001052
10,18.8894,1.05106,1.26055,1.028,0.87052,0.84743,0.92123,0.64553,1.21388,1.09159,1.17019,0.00102725,0.00102725,0.00102725
11,20.6074,1.00459,1.17657,1.01271,0.88858,0.87851,0.91356,0.56782,1.3293,1.08869,1.3156,0.0010025,0.0010025,0.0010025
12,22.3514,1.03644,1.14543,1.02981,0.88772,0.9375,0.91763,0.57907,1.29966,0.93963,1.27388,0.00097775,0.00097775,0.00097775
13,24.059,0.95449,1.04648,0.98788,0.95036,0.96055,0.93541,0.68506,1.16743,0.73308,1.21209,0.000953,0.000953,0.000953
14,25.8143,1.00351,1.05883,1.00916,0.93059,0.94834,0.95965,0.70925,1.03724,0.79842,1.13487,0.00092825,0.00092825,0.00092825
15,27.5373,0.95966,1.00235,0.99361,0.94555,0.95,0.94669,0.63946,1.18107,0.89999,1.22593,0.0009035,0.0009035,0.0009035
16,29.2423,0.90284,0.94316,0.97369,0.9128,0.93963,0.93359,0.65592,1.1704,0.87874,1.2084,0.00087875,0.00087875,0.00087875
17,30.9609,0.87978,0.85179,0.95511,0.94326,0.95338,0.96106,0.68503,1.17665,0.67366,1.16516,0.000854,0.000854,0.000854
18,32.6874,0.87618,0.86691,0.96928,0.93194,0.94685,0.95753,0.68379,1.05685,0.83455,1.07043,0.00082925,0.00082925,0.00082925
19,34.448,0.86469,0.85023,0.96841,0.91927,0.93498,0.95343,0.70542,1.02719,0.77477,1.05638,0.0008045,0.0008045,0.0008045
20,36.1872,0.9045,0.86737,0.97507,0.94033,0.94453,0.95021,0.6552,1.17562,0.76756,1.22379,0.00077975,0.00077975,0.00077975
21,37.8729,0.89438,0.85998,0.97147,0.91871,0.925,0.93412,0.69159,1.09153,0.80392,1.17912,0.000755,0.000755,0.000755
22,39.5574,0.82443,0.81719,0.94495,0.92434,0.93613,0.94543,0.70521,1.04787,0.76037,1.13847,0.00073025,0.00073025,0.00073025
23,41.2251,0.83826,0.7708,0.94947,0.95589,0.96081,0.9613,0.70705,0.9775,0.68814,1.06084,0.0007055,0.0007055,0.0007055
24,42.9341,0.87666,0.76701,0.97982,0.92902,0.94327,0.96526,0.70289,1.10111,0.74892,1.21484,0.00068075,0.00068075,0.00068075
25,44.5918,0.8524,0.73586,0.95461,0.9485,0.95,0.96417,0.71176,1.06766,0.68946,1.22109,0.000656,0.000656,0.000656
26,46.3184,0.79832,0.68583,0.94134,0.9329,0.96036,0.95379,0.72484,1.02932,0.72125,1.13045,0.00063125,0.00063125,0.00063125
27,48.047,0.77177,0.69813,0.92586,0.95631,0.9625,0.96928,0.72885,0.94648,0.7047,1.05119,0.0006065,0.0006065,0.0006065
28,49.7794,0.8049,0.6918,0.9453,0.92444,0.96035,0.96523,0.72012,1.0378,0.61197,1.14487,0.00058175,0.00058175,0.00058175
29,51.436,0.78306,0.67458,0.92148,0.94337,0.94907,0.96255,0.70032,1.13385,0.6482,1.2238,0.000557,0.000557,0.000557
30,53.1411,0.72919,0.64404,0.92063,0.94284,0.94182,0.96096,0.7218,1.05621,0.67903,1.18535,0.00053225,0.00053225,0.00053225
31,54.8153,0.7912,0.65992,0.93707,0.94114,0.94179,0.95677,0.7256,0.98432,0.67376,1.1211,0.0005075,0.0005075,0.0005075
32,56.6172,0.77073,0.6516,0.92447,0.93721,0.95036,0.95904,0.71293,1.05487,0.64465,1.17848,0.00048275,0.00048275,0.00048275
33,58.3836,0.74755,0.61219,0.91123,0.92891,0.93971,0.93957,0.69741,1.13281,0.64828,1.28398,0.000458,0.000458,0.000458
34,60.2086,0.71765,0.58339,0.88973,0.94445,0.94737,0.96156,0.72572,0.97395,0.65948,1.114,0.00043325,0.00043325,0.00043325
35,61.9344,0.70795,0.59196,0.90701,0.94426,0.95512,0.97017,0.73807,0.90335,0.66092,1.03735,0.0004085,0.0004085,0.0004085
36,63.691,0.69777,0.60348,0.9028,0.92839,0.95,0.95376,0.71928,1.00524,0.69285,1.11529,0.00038375,0.00038375,0.00038375
37,65.4029,0.72479,0.58044,0.91532,0.95269,0.93359,0.96302,0.71484,1.10017,0.62427,1.21117,0.000359,0.000359,0.000359
38,67.1652,0.68522,0.56462,0.88928,0.93335,0.93917,0.94531,0.71403,1.08296,0.63427,1.22831,0.00033425,0.00033425,0.00033425
39,68.9604,0.70495,0.57141,0.91529,0.93039,0.94042,0.95791,0.72722,1.05679,0.64435,1.20959,0.0003095,0.0003095,0.0003095
40,70.7708,0.68841,0.57265,0.90338,0.92716,0.95059,0.96645,0.72879,0.95082,0.68749,1.10526,0.00028475,0.00028475,0.00028475
41,78.3449,0.60033,0.55752,0.89042,0.93156,0.96197,0.96883,0.72194,0.99836,0.67516,1.11757,0.00026,0.00026,0.00026
42,80.0289,0.60045,0.55227,0.87428,0.94341,0.96764,0.96923,0.7149,1.02948,0.58589,1.1303,0.00023525,0.00023525,0.00023525
43,81.7394,0.57463,0.53209,0.86573,0.95713,0.96777,0.97504,0.73246,0.97899,0.59954,1.06053,0.0002105,0.0002105,0.0002105
44,83.5149,0.55911,0.50984,0.86044,0.95443,0.96194,0.95787,0.71487,1.03933,0.5885,1.13077,0.00018575,0.00018575,0.00018575
45,85.1682,0.54638,0.50369,0.85037,0.95307,0.96052,0.95374,0.70535,1.03666,0.60166,1.13565,0.000161,0.000161,0.000161
46,86.8807,0.52334,0.49352,0.85543,0.955,0.96249,0.95765,0.72141,0.99239,0.59812,1.11048,0.00013625,0.00013625,0.00013625
47,88.5153,0.52763,0.49118,0.837,0.96763,0.975,0.96316,0.72337,0.97859,0.5947,1.08236,0.0001115,0.0001115,0.0001115
48,90.1837,0.52995,0.48554,0.84408,0.96774,0.975,0.96893,0.726,0.99142,0.59218,1.07986,8.675e-05,8.675e-05,8.675e-05
49,91.8364,0.5162,0.4809,0.83757,0.96791,0.975,0.96965,0.73072,0.99336,0.59263,1.08387,6.2e-05,6.2e-05,6.2e-05
50,93.5251,0.51831,0.47704,0.83641,0.96997,0.975,0.96437,0.72207,0.98799,0.59819,1.09627,3.725e-05,3.725e-05,3.725e-05
